Code région,Nom de la région,Code département,Code arrondissement,Code canton,Code commune,Nom de la commune,Population municipale,Population comptée à part,Population totale
82,Rhône-Alpes,01,2,10,001,L' Abergement-Clémenciat,791,16,807
82,Rhône-Alpes,01,1,01,002,L' Abergement-de-Varey,194,6,200
82,Rhône-Alpes,01,1,01,004,Ambérieu-en-Bugey,12792,480,13272
82,Rhône-Alpes,01,2,30,005,Ambérieux-en-Dombes,1567,21,1588
82,Rhône-Alpes,01,1,04,006,Ambléon,123,0,123
82,Rhône-Alpes,01,1,01,007,Ambronay,2296,109,2405
82,Rhône-Alpes,01,1,17,008,Ambutrix,657,13,670
82,Rhône-Alpes,01,1,04,009,Andert-et-Condon,331,17,348
82,Rhône-Alpes,01,1,31,010,Anglefort,926,8,934
82,Rhône-Alpes,01,4,22,011,Apremont,339,19,358
82,Rhône-Alpes,01,1,15,012,Aranc,285,13,298
82,Rhône-Alpes,01,1,28,013,Arandas,164,1,165
82,Rhône-Alpes,01,4,23,014,Arbent,3433,141,3574
82,Rhône-Alpes,01,1,04,015,Arbignieu,473,14,487
82,Rhône-Alpes,01,2,26,016,Arbigny,368,11,379
82,Rhône-Alpes,01,1,28,017,Argis,421,4,425
82,Rhône-Alpes,01,1,36,019,Armix,23,1,24
82,Rhône-Alpes,01,2,42,021,Ars-sur-Formans,1284,19,1303
82,Rhône-Alpes,01,1,09,022,Artemare,1097,27,1124
82,Rhône-Alpes,01,2,02,023,Asnières-sur-Saône,79,1,80
82,Rhône-Alpes,01,2,21,024,Attignat,2662,58,2720
82,Rhône-Alpes,01,2,02,025,Bâgé-la-Ville,2866,86,2952
82,Rhône-Alpes,01,2,02,026,Bâgé-le-Châtel,795,75,870
82,Rhône-Alpes,01,2,20,027,Balan,2362,91,2453
82,Rhône-Alpes,01,2,30,028,Baneins,595,6,601
82,Rhône-Alpes,01,4,22,170,Béard-Géovreissiat,908,35,943
82,Rhône-Alpes,01,2,11,029,Beaupont,560,10,570
82,Rhône-Alpes,01,2,34,030,Beauregard,881,19,900
82,Rhône-Alpes,01,2,20,032,Béligneux,2883,58,2941
82,Rhône-Alpes,01,4,03,033,Bellegarde-sur-Valserine,11404,349,11753
82,Rhône-Alpes,01,1,04,034,Belley,8750,431,9181
82,Rhône-Alpes,01,4,23,035,Belleydoux,298,18,316
82,Rhône-Alpes,01,4,41,031,Bellignat,3464,175,3639
82,Rhône-Alpes,01,1,09,036,Belmont-Luthézieu,489,15,504
82,Rhône-Alpes,01,1,18,037,Bénonces,280,2,282
82,Rhône-Alpes,01,2,11,038,Bény,742,18,760
82,Rhône-Alpes,01,1,09,039,Béon,354,13,367
82,Rhône-Alpes,01,2,21,040,Béréziat,388,9,397
82,Rhône-Alpes,01,1,01,041,Bettant,714,11,725
82,Rhône-Alpes,01,2,27,042,Bey,242,10,252
82,Rhône-Alpes,01,2,40,043,Beynost,4305,98,4403
82,Rhône-Alpes,01,4,03,044,Billiat,448,6,454
82,Rhône-Alpes,01,2,35,045,Birieux,230,2,232
82,Rhône-Alpes,01,2,10,046,Biziat,774,10,784
82,Rhône-Alpes,01,1,17,047,Blyes,880,45,925
82,Rhône-Alpes,01,2,07,245,Bohas-Meyriat-Rignat,815,38,853
82,Rhône-Alpes,01,2,20,049,La Boisse,2880,56,2936
82,Rhône-Alpes,01,2,26,050,Boissey,246,6,252
82,Rhône-Alpes,01,4,16,051,Bolozon,98,3,101
82,Rhône-Alpes,01,2,35,052,Bouligneux,303,10,313
82,Rhône-Alpes,01,2,99,053,Bourg-en-Bresse,40203,2143,42346
